Ligand,Conformer,Vshell_0.0,Vshell_0.5,Vshell_1.0,Vshell_1.5,Vshell_2.0,Vshell_2.5,Vshell_3.0,Vshell_3.5,Vshell_4.0,Vshell_4.5,Vshell_5.0,Vshell_5.5,Vshell_6.0,Vshell_6.5,Vshell_7.0,Vshell_7.5,Vshell_8.0,Vshell_8.5,Vshell_9.0,Vshell_9.5,Vshell_10.0,Vshell_10.5,Vshell_11.0,Vshell_11.5,Vshell_12.0
R-DTBM-SEGPHOS_1,CONF_0143,0.0,8.93698468786808,31.248043818466357,35.40485192186516,37.06173742806858,44.26520221955265,48.06115333350987,49.56065745861724,51.29395071208292,51.41522301881534,48.363224850754335,44.36836666000484,40.859859313623694,38.5097632016448,35.68331444124343,31.839081028471185,27.474832136579654,20.13918563517901,11.5296974674423,5.833222773819919,1.3963173906919335,0.0175684791901905,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0132,0.0,8.92962308598351,31.467136150234737,35.822306238185256,37.15962348474362,45.15346820992951,48.74237569402148,50.548044180493314,53.12379631769508,52.23038441233212,48.43490727377917,44.96602467681368,41.77422134244142,39.41835003680852,36.434843401355685,32.15891444650441,26.86302456736376,18.652312344988307,11.241267148268015,5.544937924322638,1.209266366865111,0.0444442841115291,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0114,0.0,8.355418138987043,30.784428794992174,35.20793950850662,38.62049872451502,44.00777987529318,47.90491574645376,50.44776651341518,51.82661507761964,50.846955337359255,48.39890712119575,44.27212077543679,40.94055293634207,39.88485804713373,37.333462708963296,32.707119527226126,27.40260442263496,19.573158912594327,10.860467412335014,4.767135218619133,1.3387020147078366,0.061345377541928,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0084,0.0,9.062131919905772,31.420187793427235,35.58163551074705,37.74743419881746,44.851870920173646,48.6905171728941,50.88176307254659,52.41941696424799,51.2747016373881,47.3785849158566,43.65894771166206,40.84185375509789,39.18864979562326,36.70535485191092,32.72358829770165,27.13164953187121,19.31751351327539,11.470974979946922,5.421875268593503,1.416570309459824,0.0641592202048333,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0070,0.0,8.96643109540636,31.347809076682317,35.59388783868935,37.83048903478416,44.92433054300224,48.74259636857947,50.95320483535994,52.461662330304094,51.30698622851211,47.40123401847532,43.666968202042725,40.8450571980258,39.16586805039096,36.71871193839338,32.748680201215855,27.1037836138461,19.279269952731067,11.472522247496988,5.422426229623809,1.41742578638224,0.0638525835043885,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0061,0.0,8.598351001177857,31.0641627543036,35.49411888258769,37.33067689691313,44.27855004481056,48.31779784445092,50.34813684418568,51.83183362283834,50.92948221011086,47.623433635745215,44.24365460875785,41.18920638567685,39.10124132269683,36.50069505568565,32.47708685120642,26.53425643976085,19.30011255556192,12.103610929505017,5.659868395244457,1.333091677681761,0.04491325788868,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0057,0.0,8.613074204946997,31.097417840375584,35.49936988027726,37.528920880381264,44.76701688817701,48.666684320631305,50.67505175882816,52.3922059784648,51.36125181784818,47.48738007896193,43.795427531582334,40.89189374290272,39.128023994261255,36.64279172039274,32.68580907959364,27.223635020469175,19.29033828342856,11.375879425123792,5.457180851415508,1.4371017555978032,0.0654038044595798,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0055,0.0,8.73085983510012,31.130672926447573,35.52387453616187,37.31337380608673,44.69201482244215,48.63777595353477,50.690927706120014,52.7683139874407,51.68498089419485,47.59077124565297,44.0423534485479,41.28978344725808,38.84569980437823,35.95674902318693,32.14237499461054,26.892909754810983,19.177507389900395,11.636999244049283,5.962985115677574,1.469550194213156,0.0365078048058989,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0053,0.0,8.627797408716138,31.058294209702662,35.51074704193797,37.23773458047421,44.21149311315778,48.29595106321002,50.27491308728855,51.79207327831495,50.93340738836303,47.625420399132814,44.24667872808171,41.186168638072814,39.09780523302336,36.49894929666211,32.46641395703559,26.551249368589986,19.3120894805704,12.100319915985828,5.668838040817838,1.332415254068688,0.0449312953416473,0.0,0.0,0.0
R-DTBM-SEGPHOS_1,CONF_0049,0.0,8.708775029446407,31.09937402190923,35.477490723237416,37.63817753959937,45.00664213209263,48.76554652261032,50.90703498864384,52.8458466592613,51.7008778661161,47.56994996535085,43.96011055128381,41.19252029215399,39.00319509269911,36.037703523022905,32.18612679256912,26.919408782765757,19.27277212674946,11.59581245545466,5.72746029444239,1.502854109750925,0.0470056024328916,0.0,0.0,0.0
