Ligand,Conformer,LUMO+1,LUMO,HOMO,HOMO-1,HOMO-2,HOMO-3,dipole(debye),trace,anisotropy
107_cs,CONF_0045,-4.651,-5.114,-7.815,-8.424,-8.65,-8.819,2.342,-156.108012,31.247463
107_cs,CONF_0052,-4.628,-5.109,-7.806,-8.416,-8.63,-8.83,2.3156,-156.268893,30.756225
107_cs,CONF_0054,-4.6,-5.222,-7.812,-8.439,-8.693,-8.822,2.1177,-156.181039,30.653288
107_cs,CONF_0055,-4.674,-5.085,-7.795,-8.445,-8.659,-8.839,2.2943,-156.267591,30.969515
107_cs,CONF_0058,-4.636,-5.092,-7.772,-8.423,-8.62,-8.826,2.403,-156.158209,31.622432
107_cs,CONF_0060,-4.595,-5.211,-7.792,-8.441,-8.697,-8.823,1.8696,-156.057911,30.755397
107_cs,CONF_0063,-4.682,-5.083,-7.822,-8.448,-8.632,-8.846,1.7684,-156.288193,31.907306
107_cs,CONF_0066,-4.651,-5.1,-7.794,-8.437,-8.633,-8.826,2.1456,-156.212571,31.492151
107_cs,CONF_0067,-4.629,-5.12,-7.804,-8.424,-8.616,-8.819,2.4997,-156.204096,31.185311
107_cs,CONF_0068,-4.65,-5.115,-7.814,-8.423,-8.649,-8.819,2.3436,-156.108598,31.244352
107_cs,CONF_0075,-4.623,-5.129,-7.816,-8.408,-8.628,-8.818,2.3334,-156.179258,30.697867
107_cs,CONF_0096,-4.66,-5.157,-7.83,-8.43,-8.66,-8.798,2.3806,-155.975056,31.436597
107_cs,CONF_0100,-4.662,-5.169,-7.813,-8.416,-8.659,-8.831,2.4467,-155.963508,31.720286
107_cs,CONF_0103,-4.608,-5.203,-7.801,-8.455,-8.681,-8.813,2.2083,-156.124846,30.827792
107_cs,CONF_0113,-4.653,-5.109,-7.801,-8.424,-8.621,-8.829,2.0789,-156.161463,31.154857
107_cs,CONF_0144,-4.637,-5.091,-7.772,-8.424,-8.62,-8.826,2.4039,-156.158344,31.622599
107_cs,CONF_0145,-4.637,-5.142,-7.821,-8.397,-8.624,-8.827,2.2823,-156.0939,30.794703
107_cs,CONF_0167,-4.585,-5.204,-7.84,-8.421,-8.674,-8.828,2.1911,-155.762021,30.929871
107_cs,CONF_0170,-4.611,-5.193,-7.832,-8.421,-8.686,-8.836,1.9605,-155.817963,30.558318
107_cs,CONF_0197,-4.562,-5.234,-7.856,-8.405,-8.686,-8.821,2.1797,-155.862686,30.153835
