Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
103_cs,CONF_0007,-0.03572,-0.29235,-0.00663,0.13199,-0.23096,0.45777,0.40794,0.15684,0.15072
103_cs,CONF_0032,-0.01408,-0.29263,0.01493,0.13774,-0.24938,0.43729,0.29072,0.16927,0.14570
103_cs,CONF_0036,0.00144,-0.27350,-0.04336,0.13490,-0.27315,0.40469,0.46327,0.15050,0.16133
103_cs,CONF_0038,-0.06691,-0.26148,-0.03003,0.13164,-0.25673,0.41672,0.27440,0.17666,0.16039
103_cs,CONF_0059,-0.01652,-0.36083,0.07267,0.13489,-0.28602,0.43688,0.29716,0.17254,0.15230
103_cs,CONF_0063,-0.00874,-0.30608,-0.01734,0.14099,-0.26690,0.42082,0.30644,0.15656,0.17295
103_cs,CONF_0067,0.00973,-0.39399,0.09770,0.14593,-0.25815,0.39356,0.27317,0.16413,0.15027
103_cs,CONF_0068,-0.02082,-0.31822,0.00029,0.13118,-0.25454,0.40454,0.26299,0.16665,0.17022
103_cs,CONF_0077,-0.02201,-0.25456,-0.07970,0.13852,-0.25831,0.44958,0.29736,0.15655,0.17059
103_cs,CONF_0081,0.02660,-0.37868,0.11056,0.14751,-0.27985,0.43833,0.28968,0.16097,0.14312
103_cs,CONF_0103,0.03301,-0.36330,0.01680,0.13060,-0.25070,0.42703,0.28530,0.16913,0.16054
103_cs,CONF_0108,0.03074,-0.36330,0.01894,0.13082,-0.25050,0.42529,0.28379,0.16853,0.16009
103_cs,CONF_0122,-0.02467,-0.27602,-0.07294,0.13018,-0.26112,0.43389,0.28598,0.16176,0.17633
103_cs,CONF_0163,-0.01380,-0.35314,0.02880,0.13757,-0.23872,0.44264,0.27384,0.16313,0.15572
103_cs,CONF_0164,-0.01488,-0.27460,-0.02925,0.13622,-0.28622,0.39928,0.30764,0.16506,0.17019
103_cs,CONF_0173,0.00117,-0.28514,-0.04330,0.12821,-0.28266,0.38604,0.47314,0.14889,0.16420
103_cs,CONF_0280,-0.01508,-0.33715,0.01945,0.14227,-0.28671,0.46262,0.28738,0.17137,0.15536
103_cs,CONF_0376,0.01192,-0.40065,-0.00290,0.16232,-0.28500,0.41082,0.30360,0.15094,0.16021
103_cs,CONF_0421,0.00428,-0.32012,-0.02100,0.12946,-0.26112,0.30048,0.41280,0.14978,0.16201
103_cs,CONF_0423,-0.02333,-0.35814,0.03769,0.13500,-0.27796,0.47949,0.28152,0.17021,0.14467
103_cs,CONF_0491,-0.00061,-0.28683,-0.12062,0.14276,-0.28442,0.32655,0.40053,0.15627,0.16833
103_cs,CONF_0594,0.00713,-0.32248,0.00200,0.13723,-0.24865,0.40805,0.31309,0.16597,0.16608
103_cs,CONF_0640,-0.04080,-0.28929,-0.08888,0.14923,-0.25753,0.31497,0.25525,0.17194,0.17165
103_cs,CONF_0740,0.08467,-0.44265,0.05029,0.15203,-0.24004,0.28331,0.28197,0.15657,0.16578
103_cs,CONF_0765,0.03849,-0.36980,-0.00049,0.14964,-0.25978,0.32114,0.26747,0.16011,0.17391
103_cs,CONF_0812,-0.00439,-0.33524,-0.00913,0.13450,-0.26757,0.28903,0.28111,0.17561,0.16895
103_cs,CONF_0813,0.02179,-0.40654,0.09581,0.14751,-0.29042,0.40615,0.27296,0.17039,0.15297
103_cs,CONF_0846,0.02199,-0.40604,0.09681,0.14754,-0.29063,0.40580,0.27413,0.17016,0.15289
103_cs,CONF_0879,-0.01759,-0.33770,0.02063,0.14182,-0.28572,0.46496,0.28614,0.17169,0.15573
103_cs,CONF_0986,0.01213,-0.40038,-0.00286,0.16123,-0.27692,0.41113,0.30619,0.14900,0.15953
103_cs,CONF_1024,-0.00505,-0.31137,-0.00484,0.12822,-0.28767,0.24808,0.39716,0.16757,0.16995
103_cs,CONF_1078,-0.01340,-0.33613,0.00956,0.12912,-0.27762,0.45497,0.27428,0.17472,0.14849
103_cs,CONF_1255,0.03986,-0.36606,0.00514,0.14845,-0.30155,0.29387,0.31847,0.17437,0.17904
104_cs,CONF_0036,0.01088,-0.28043,-0.05339,0.13539,-0.27349,0.40015,0.46566,0.14677,0.16200
104_cs,CONF_0037,-0.03131,-0.25839,-0.07191,0.13190,-0.25577,0.27429,0.40792,0.15897,0.17819
104_cs,CONF_0060,-0.03735,-0.35449,0.07738,0.13544,-0.29949,0.43215,0.28637,0.17807,0.15358
104_cs,CONF_0063,-0.01753,-0.29991,-0.01920,0.13831,-0.26406,0.42723,0.29652,0.15633,0.17212
104_cs,CONF_0069,-0.00323,-0.32032,-0.00650,0.12853,-0.25403,0.40912,0.25310,0.16464,0.16891
104_cs,CONF_0070,0.01334,-0.38486,0.07706,0.14587,-0.25712,0.40507,0.26678,0.16374,0.15416
104_cs,CONF_0074,0.01245,-0.37654,0.02488,0.14547,-0.23437,0.42896,0.26752,0.15962,0.16057
104_cs,CONF_0078,-0.01555,-0.26301,-0.08355,0.13843,-0.25658,0.45047,0.30846,0.15348,0.17081
104_cs,CONF_0083,0.04267,-0.37863,0.09275,0.14630,-0.27108,0.42495,0.29237,0.16049,0.14351
104_cs,CONF_0103,0.03791,-0.36844,0.00654,0.12910,-0.24777,0.42987,0.29071,0.16936,0.15892
104_cs,CONF_0115,0.00792,-0.35904,0.04042,0.12863,-0.24795,0.27887,0.41822,0.16001,0.16762
104_cs,CONF_0122,-0.01651,-0.28378,-0.07028,0.12906,-0.25867,0.43734,0.28060,0.16070,0.17374
104_cs,CONF_0158,-0.02412,-0.33977,0.02978,0.13593,-0.24268,0.44197,0.27445,0.16359,0.15402
104_cs,CONF_0163,-0.00223,-0.28362,-0.03451,0.13509,-0.28519,0.39879,0.30874,0.16379,0.16966
104_cs,CONF_0275,-0.04907,-0.32828,0.02430,0.14193,-0.29970,0.46927,0.28358,0.17867,0.15302
104_cs,CONF_0336,-0.04022,-0.25407,-0.07570,0.13163,-0.25616,0.27628,0.41036,0.16041,0.17797
104_cs,CONF_0370,0.02132,-0.39559,0.00443,0.15905,-0.28300,0.39891,0.31132,0.14707,0.16063
104_cs,CONF_0379,-0.01057,-0.32555,-0.00752,0.12944,-0.26287,0.40516,0.31005,0.16071,0.15143
104_cs,CONF_0419,-0.04915,-0.34519,0.03923,0.13377,-0.27501,0.45863,0.28324,0.17490,0.14273
104_cs,CONF_0502,-0.11241,-0.30184,-0.00435,0.14552,-0.30198,0.39748,0.33448,0.16842,0.15983
104_cs,CONF_0584,0.02112,-0.32750,-0.01096,0.13721,-0.24136,0.40677,0.30789,0.16215,0.16807
104_cs,CONF_0687,-0.09150,-0.29912,-0.02693,0.15016,-0.25486,0.24738,0.31402,0.17518,0.16923
104_cs,CONF_0722,0.07473,-0.45089,0.05860,0.15296,-0.23463,0.28623,0.28201,0.16544,0.15961
104_cs,CONF_0755,0.03294,-0.37494,0.01417,0.14890,-0.26050,0.33414,0.27464,0.15868,0.17022
104_cs,CONF_0780,-0.00553,-0.33889,0.00660,0.13360,-0.26273,0.26923,0.27967,0.16650,0.17779
104_cs,CONF_0812,0.00646,-0.38691,0.08342,0.14642,-0.25930,0.40076,0.27035,0.16451,0.15346
104_cs,CONF_0828,0.02781,-0.39589,0.07213,0.14765,-0.28784,0.41454,0.27449,0.16889,0.15625
104_cs,CONF_0858,-0.05262,-0.32537,0.02264,0.14136,-0.29584,0.46895,0.28269,0.17884,0.15286
104_cs,CONF_0967,0.00541,-0.38892,-0.00525,0.15996,-0.28050,0.39950,0.30449,0.14774,0.16299
104_cs,CONF_1032,0.00518,-0.30905,-0.03048,0.12744,-0.28024,0.39400,0.24795,0.16882,0.16927
104_cs,CONF_1043,-0.05420,-0.31015,-0.01826,0.13153,-0.23349,0.42861,0.27472,0.18338,0.15662
104_cs,CONF_1200,0.03732,-0.34685,-0.04181,0.13455,-0.28005,0.28363,0.46555,0.14588,0.16983
104_cs,CONF_1230,0.04695,-0.37342,0.00611,0.15015,-0.29615,0.29080,0.31304,0.17216,0.17921
105_cs,CONF_0001,0.03050,-0.45194,0.11472,0.16184,-0.39873,0.44246,0.40078,0.14254,0.14379
105_cs,CONF_0004,0.03124,-0.31584,-0.01658,0.13165,-0.45416,0.45318,0.49996,0.16580,0.18257
105_cs,CONF_0005,-0.02898,-0.29108,-0.00602,0.13655,-0.43931,0.49969,0.45232,0.16612,0.16227
105_cs,CONF_0007,0.04018,-0.32070,-0.02016,0.13236,-0.46120,0.46289,0.50506,0.16481,0.18466
105_cs,CONF_0010,0.03019,-0.45110,0.11348,0.16212,-0.39803,0.44154,0.39863,0.14256,0.14392
105_cs,CONF_0012,-0.02731,-0.28260,-0.02559,0.13772,-0.44297,0.49814,0.44110,0.16562,0.16551
105_cs,CONF_0013,-0.02967,-0.28745,-0.00608,0.13749,-0.44354,0.50349,0.45584,0.16528,0.16257
105_cs,CONF_0014,0.10704,-0.45551,0.05099,0.16228,-0.39645,0.39039,0.44856,0.14327,0.14240
106_cs,CONF_0003,0.04233,-0.43766,0.10312,0.15879,-0.40077,0.45284,0.39556,0.14170,0.14263
106_cs,CONF_0004,0.04598,-0.32006,-0.02062,0.13173,-0.45641,0.45263,0.49905,0.16412,0.18388
106_cs,CONF_0005,-0.00096,-0.28337,-0.03411,0.13704,-0.44866,0.44714,0.49484,0.16009,0.16804
106_cs,CONF_0007,-0.02108,-0.31980,0.02990,0.13278,-0.45523,0.49701,0.46714,0.18503,0.16595
106_cs,CONF_0010,0.03929,-0.45815,0.12401,0.16162,-0.40410,0.43119,0.40728,0.14149,0.14413
106_cs,CONF_0011,-0.00098,-0.28363,-0.02624,0.13639,-0.44345,0.46080,0.48766,0.16197,0.16748
106_cs,CONF_0012,-0.00166,-0.28267,-0.02525,0.13613,-0.44407,0.46008,0.48759,0.16200,0.16732
106_cs,CONF_0013,0.04710,-0.46072,0.11086,0.16306,-0.40041,0.44598,0.39640,0.14233,0.14421
107_cs,CONF_0003,0.00792,-0.32104,0.02232,0.13328,-0.30129,0.24866,0.29043,0.14974,0.16887
107_cs,CONF_0004,0.04626,-0.33405,0.03214,0.13526,-0.34486,0.25630,0.25146,0.14680,0.17224
107_cs,CONF_0007,0.02056,-0.32736,0.01440,0.13407,-0.28564,0.27493,0.22046,0.14951,0.16521
107_cs,CONF_0009,0.01615,-0.33499,0.01509,0.13347,-0.29303,0.20159,0.28562,0.15247,0.17524
107_cs,CONF_0010,0.02236,-0.32362,0.01376,0.13438,-0.33731,0.23357,0.25647,0.14860,0.16537
107_cs,CONF_0015,0.02514,-0.33995,0.04544,0.13022,-0.32001,0.19698,0.26861,0.15901,0.16924
107_cs,CONF_0020,0.02648,-0.33959,0.04244,0.13005,-0.32047,0.19945,0.26898,0.15827,0.16974
107_cs,CONF_0024,0.04473,-0.39865,0.04906,0.14847,-0.35914,0.25056,0.27771,0.14802,0.16890
107_cs,CONF_0026,0.03272,-0.34831,0.04037,0.13316,-0.38391,0.24345,0.23516,0.15996,0.16683
107_cs,CONF_0027,0.00952,-0.35006,0.04724,0.13296,-0.33094,0.26246,0.31315,0.15476,0.16659
107_cs,CONF_0030,0.00576,-0.36826,0.04023,0.14010,-0.26785,0.24489,0.21889,0.14741,0.16934
107_cs,CONF_0032,0.07661,-0.41262,0.05601,0.15226,-0.39288,0.27092,0.22608,0.14688,0.17563
107_cs,CONF_0033,0.02058,-0.32184,0.01250,0.13404,-0.33987,0.23513,0.25529,0.14817,0.16633
107_cs,CONF_0034,0.04223,-0.36158,0.04806,0.13253,-0.32658,0.25629,0.30853,0.15179,0.16563
107_cs,CONF_0035,0.01744,-0.29561,0.03867,0.13300,-0.34992,0.24463,0.21186,0.14829,0.16707
107_cs,CONF_0044,-0.00783,-0.33823,0.05845,0.13400,-0.36645,0.26767,0.26538,0.16919,0.16855
107_cs,CONF_0045,0.03826,-0.38033,0.07215,0.14111,-0.40050,0.21008,0.30028,0.15799,0.16891
107_cs,CONF_0052,0.09063,-0.39395,0.03970,0.14431,-0.42191,0.27719,0.23235,0.14573,0.17588
107_cs,CONF_0054,-0.01476,-0.30448,0.00066,0.14124,-0.33285,0.24412,0.20666,0.15771,0.17525
107_cs,CONF_0055,0.01197,-0.30683,0.05063,0.13110,-0.32419,0.23369,0.26470,0.14821,0.17940
107_cs,CONF_0058,0.03397,-0.38842,0.04999,0.13970,-0.33262,0.20543,0.25439,0.15437,0.17161
107_cs,CONF_0060,-0.01309,-0.31694,0.00692,0.13491,-0.32796,0.23433,0.24744,0.15846,0.16646
107_cs,CONF_0063,0.02500,-0.33065,0.01874,0.13368,-0.31769,0.23066,0.21610,0.14864,0.16532
107_cs,CONF_0066,0.00645,-0.31392,0.02326,0.13188,-0.36297,0.23245,0.28124,0.14931,0.17079
107_cs,CONF_0067,0.02414,-0.37793,0.04958,0.14448,-0.39789,0.22922,0.23740,0.14948,0.18366
107_cs,CONF_0068,0.03641,-0.37924,0.07590,0.14114,-0.40074,0.20655,0.30098,0.15819,0.16768
107_cs,CONF_0075,0.08074,-0.40254,0.06402,0.14940,-0.42904,0.22657,0.24467,0.14982,0.18010
107_cs,CONF_0096,-0.02819,-0.36341,0.07570,0.13564,-0.35243,0.20694,0.24591,0.17484,0.16788
107_cs,CONF_0100,0.01776,-0.35318,0.04236,0.13412,-0.39198,0.22380,0.26437,0.16841,0.18809
107_cs,CONF_0103,-0.01444,-0.31399,0.02815,0.13411,-0.26018,0.20661,0.21806,0.15571,0.17630
107_cs,CONF_0113,0.01006,-0.32383,0.04263,0.13376,-0.36077,0.20699,0.27782,0.15223,0.17057
107_cs,CONF_0144,0.03321,-0.38795,0.04689,0.13968,-0.33186,0.20633,0.25379,0.15394,0.17224
107_cs,CONF_0145,-0.00117,-0.29404,0.02879,0.13806,-0.42312,0.22712,0.26626,0.15323,0.18501
107_cs,CONF_0167,0.03639,-0.38769,0.07580,0.14188,-0.28621,0.21120,0.23948,0.16436,0.16494
107_cs,CONF_0170,0.03088,-0.39365,0.07086,0.14024,-0.33835,0.19302,0.27373,0.16587,0.17507
107_cs,CONF_0197,0.07169,-0.40943,0.06221,0.15835,-0.37280,0.19669,0.27714,0.16286,0.18160
107_cs,CONF_0206,0.00154,-0.30034,0.04780,0.13104,-0.32578,0.23762,0.26188,0.14910,0.18057
107_cs,CONF_0224,0.03722,-0.41863,0.06769,0.15571,-0.29583,0.18439,0.19917,0.15954,0.17876
107_cs,CONF_0378,0.08180,-0.38796,0.05438,0.14754,-0.37554,0.23044,0.24450,0.14801,0.18794
107_cs,CONF_0394,-0.01136,-0.31431,-0.00589,0.13467,-0.32758,0.23405,0.24193,0.15975,0.16764
108_cs,CONF_0003,-0.00573,-0.31589,0.03904,0.13265,-0.30257,0.24181,0.29341,0.14957,0.16610
108_cs,CONF_0004,0.03312,-0.33125,0.04235,0.13540,-0.34583,0.24270,0.25528,0.14884,0.17100
108_cs,CONF_0007,0.00366,-0.32155,0.02043,0.13352,-0.29300,0.26706,0.23144,0.15126,0.16512
