Ligand,Conformer,atom_1_ISOTROPIC,atom_2_ISOTROPIC,atom_3_ISOTROPIC,atom_5_ISOTROPIC,atom_6_ISOTROPIC,atom_7_ISOTROPIC,atom_1_ANISOTROPIC,atom_2_ANISOTROPIC,atom_3_ANISOTROPIC,atom_5_ANISOTROPIC,atom_6_ANISOTROPIC,atom_7_ANISOTROPIC,atom_1_dD/dB-CONTRIBUTION,atom_2_dD/dB-CONTRIBUTION,atom_3_dD/dB-CONTRIBUTION,atom_5_dD/dB-CONTRIBUTION,atom_6_dD/dB-CONTRIBUTION,atom_7_dD/dB-CONTRIBUTION
S-35-tBu-C2-TUNEPHOS_1,CONF_0145,105.195654,-36.951310,345.962827,155.461532,152.104458,161.612474,67.611866,231.908908,99.510114,39.844030,15.332898,30.684531,-191.450664,-384.412603,-676.337973,-102.987689,-110.469759,-82.752055
S-35-tBu-C2-TUNEPHOS_1,CONF_0150,105.207977,-39.122374,347.005651,159.567263,152.215981,155.427769,66.747602,236.197952,101.984416,30.010313,11.992164,42.188894,-191.974977,-386.903646,-675.701734,-110.744391,-110.836610,-92.388420
S-35-tBu-C2-TUNEPHOS_1,CONF_0154,105.277404,-37.002721,346.354674,156.402732,152.142226,161.418342,65.781413,232.442813,97.465598,38.071308,15.337402,31.262823,-190.671088,-384.230168,-676.025731,-104.192939,-110.386296,-82.314315
S-35-tBu-C2-TUNEPHOS_1,CONF_0162,102.342498,-30.906114,347.644747,155.903569,152.122629,161.627983,70.078576,222.456482,89.402017,39.558323,15.449332,30.827299,-191.805256,-377.232076,-674.317906,-103.393461,-110.733904,-82.725937
S-35-tBu-C2-TUNEPHOS_1,CONF_0165,103.638628,-31.447595,347.209877,155.841740,152.130742,161.601212,68.671983,221.789331,91.945713,39.408939,15.463468,30.837946,-190.578850,-378.001136,-674.896762,-103.508938,-110.626028,-82.657700
S-35-tBu-C2-TUNEPHOS_1,CONF_0168,105.238937,-38.684771,346.866200,155.559830,152.207691,158.932369,67.121761,235.272155,102.003438,42.261080,12.070960,36.490570,-191.951801,-386.467215,-675.791884,-92.144642,-110.843154,-96.308962
S-35-tBu-C2-TUNEPHOS_1,CONF_0169,105.142059,-39.600894,346.106768,156.795919,152.200900,161.329821,65.780301,237.691023,98.981943,36.970231,15.131166,31.505567,-191.719684,-387.117360,-676.427360,-104.643155,-110.520542,-82.373955
S-35-tBu-C2-TUNEPHOS_1,CONF_0179,106.506416,-46.780919,350.649455,159.779606,152.303493,154.954754,59.212827,247.950982,98.561404,31.303223,11.506074,42.116309,-191.129083,-394.353008,-672.674851,-111.967724,-111.967891,-94.750653
S-35-tBu-C2-TUNEPHOS_1,CONF_0189,105.710758,-38.943514,351.300701,161.402579,152.114806,158.643232,61.770532,233.278698,94.377986,26.539821,13.666504,38.988333,-190.537082,-386.141000,-671.759746,-98.490027,-106.892475,-94.912644
S-35-tBu-C2-TUNEPHOS_1,CONF_0190,103.443417,-32.807333,348.565109,155.293675,152.277306,159.076083,67.795247,223.933004,93.447287,42.355908,11.989411,36.283958,-191.133155,-379.637575,-673.881670,-92.359613,-110.827506,-96.007419
S-35-tBu-C2-TUNEPHOS_1,CONF_0192,105.856011,-47.358608,350.653336,159.641818,152.314831,154.933098,60.219127,250.294380,98.604218,31.573947,11.505020,42.128482,-192.252664,-395.129316,-672.731189,-112.056245,-111.946200,-94.769031
S-35-tBu-C2-TUNEPHOS_1,CONF_0210,105.128708,-36.166977,346.172760,155.732568,152.091083,155.528486,66.745519,230.977939,97.703641,37.249402,15.429563,39.565672,-190.707863,-383.256238,-676.008106,-114.429125,-110.306380,-102.844626
S-35-tBu-C2-TUNEPHOS_1,CONF_0224,105.243430,-38.369752,346.085351,155.800279,152.142227,161.598104,66.957674,234.735862,98.477578,39.060385,15.413774,30.676189,-191.608640,-385.720797,-676.171839,-102.906549,-110.287289,-82.479449
S-35-tBu-C2-TUNEPHOS_1,CONF_0234,106.616089,-46.251174,350.438334,155.025822,152.271063,159.408843,59.535062,247.151519,98.489340,42.097161,11.482043,36.153906,-191.261221,-393.687459,-672.750654,-94.498116,-111.715491,-95.521149
S-35-tBu-C2-TUNEPHOS_1,CONF_0245,102.149860,-30.740148,347.764294,161.633256,152.114280,155.796176,70.503063,222.309944,89.162392,30.851570,15.427171,37.411985,-191.949951,-376.964658,-673.970100,-82.582200,-110.595630,-114.822740
S-35-tBu-C2-TUNEPHOS_1,CONF_0252,105.912291,-46.491975,350.290570,161.470109,152.077548,158.520869,60.483019,249.332234,98.851645,26.421368,13.824780,39.051847,-192.541605,-394.229626,-672.975682,-98.326434,-107.260287,-95.540283
S-35-tBu-C2-TUNEPHOS_1,CONF_0253,105.003693,-36.041564,351.127868,156.548026,152.200906,161.093342,63.328238,228.997151,90.308576,36.687960,15.706855,31.368182,-190.602221,-382.644751,-671.357360,-104.906095,-110.218472,-82.479085
S-35-tBu-C2-TUNEPHOS_1,CONF_0266,103.605108,-31.799143,345.995274,155.429773,152.059518,161.676707,69.846789,223.302259,95.598261,39.869033,15.438029,30.681271,-190.599797,-378.547189,-676.078510,-103.301864,-110.737565,-82.927434
S-35-tBu-C2-TUNEPHOS_1,CONF_0269,103.090093,-31.300239,346.745895,155.522184,152.077510,161.698430,69.320060,222.611345,92.953670,39.827048,15.424287,30.683065,-190.730001,-377.741160,-675.218431,-103.251985,-110.830301,-83.011709
S-35-tBu-C2-TUNEPHOS_1,CONF_0271,106.060407,-40.495435,351.214711,155.247415,152.297492,159.093779,61.193181,236.275264,94.766238,42.002544,11.600591,36.360251,-190.228398,-387.678844,-671.883505,-93.922070,-111.609222,-95.772703
S-35-tBu-C2-TUNEPHOS_1,CONF_0275,105.704689,-38.964156,351.276276,155.245336,152.302215,158.981779,61.788847,233.419460,94.449952,41.967828,11.630558,36.475011,-190.553409,-386.167684,-671.788573,-93.706879,-111.451555,-95.919803
S-35-tBu-C2-TUNEPHOS_1,CONF_0290,105.624747,-38.916662,350.986540,160.180798,152.260098,155.133833,62.768179,234.379532,95.251483,29.702965,11.556292,42.059837,-190.636754,-386.102234,-671.973369,-111.058514,-111.236695,-93.745916
S-35-tBu-C2-TUNEPHOS_1,CONF_0292,102.388803,-31.366292,347.458374,161.629584,151.907589,158.539289,70.119796,223.926206,94.810859,26.420015,13.488163,38.700320,-191.787316,-378.023662,-674.648135,-98.571612,-107.074018,-95.429891
S-35-tBu-C2-TUNEPHOS_1,CONF_0347,102.091370,-30.283050,346.986987,161.683152,152.091208,155.569174,70.894209,222.450502,91.557725,30.711150,15.367013,38.941520,-191.896178,-376.518062,-674.641329,-82.988373,-110.824802,-115.556335
S-35-tBu-C2-TUNEPHOS_1,CONF_0352,104.670593,-46.174971,350.180335,159.321979,152.253512,155.072905,61.811987,250.627322,99.381562,31.024302,11.485680,42.024187,-193.665908,-394.030409,-673.044857,-112.578512,-111.994352,-94.513417
S-35-tBu-C2-TUNEPHOS_1,CONF_0379,105.623294,-38.922454,350.859580,155.226302,152.225081,159.143635,62.669904,234.503962,95.305081,41.979915,11.559818,36.194510,-190.599736,-386.087949,-672.089641,-93.731161,-111.328792,-95.691256
S-35-tBu-C2-TUNEPHOS_1,CONF_0387,105.863670,-40.171822,351.087985,161.394392,152.118876,158.609561,62.187397,236.226842,95.433712,26.527793,13.741698,38.990658,-190.442090,-387.303043,-671.896025,-98.388061,-106.975879,-95.114873
