Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
162_cs,CONF_0157,-0.24795,-0.2252,-0.30111,0.22946,0.31067,0.93137,0.91592,0.22788,0.22958
162_cs,CONF_0158,-0.25273,-0.22393,-0.30195,0.22849,0.30514,0.95482,0.92191,0.22705,0.23029
162_cs,CONF_0170,-0.26036,-0.22324,-0.29655,0.22835,0.30431,0.95113,0.93534,0.22781,0.23014
162_cs,CONF_0221,-0.25674,-0.22514,-0.29689,0.22802,0.30299,0.96033,0.93648,0.22602,0.2288
162_cs,CONF_0247,-0.25534,-0.22399,-0.29985,0.22856,0.30428,0.95508,0.92162,0.2271,0.23027
162_cs,CONF_0250,-0.25198,-0.22469,-0.30663,0.22952,0.30002,0.95201,0.94791,0.22539,0.22865
162_cs,CONF_0276,-0.25196,-0.22374,-0.30698,0.22891,0.30335,0.9627,0.93529,0.22519,0.22945
163_cs,CONF_0004,-0.27616,-0.21369,-0.2846,0.22663,0.29316,0.9525,0.97755,0.23183,0.22522
163_cs,CONF_0007,-0.2871,-0.21388,-0.27446,0.22693,0.2962,0.97856,0.95009,0.22575,0.23232
163_cs,CONF_0008,-0.27007,-0.2163,-0.28744,0.22656,0.28243,0.96854,0.96915,0.22863,0.22562
163_cs,CONF_0010,-0.28425,-0.21397,-0.27632,0.22656,0.2938,0.97778,0.95335,0.22522,0.23183
163_cs,CONF_0011,-0.28621,-0.21492,-0.27535,0.22911,0.28431,0.97149,0.95568,0.22444,0.23013
163_cs,CONF_0012,-0.27653,-0.22124,-0.2778,0.22355,0.28873,0.97561,0.96307,0.23231,0.22936
163_cs,CONF_0013,-0.27622,-0.22124,-0.27312,0.23439,0.27392,0.96682,0.95071,0.22296,0.22577
163_cs,CONF_0014,-0.2701,-0.22041,-0.28777,0.22684,0.32748,0.96812,0.96046,0.24153,0.23244
163_cs,CONF_0020,-0.28915,-0.21244,-0.26168,0.23662,0.3181,0.91401,0.95226,0.2229,0.22606
163_cs,CONF_0023,-0.28692,-0.22017,-0.26908,0.23311,0.31246,0.97105,0.95032,0.23039,0.22535
163_cs,CONF_0024,-0.27528,-0.22168,-0.27908,0.22383,0.28962,0.97577,0.96232,0.23234,0.22936
163_cs,CONF_0026,-0.26175,-0.21235,-0.28915,0.23671,0.3187,0.95186,0.91366,0.22616,0.22278
163_cs,CONF_0027,-0.27233,-0.21694,-0.28495,0.226,0.27892,0.97038,0.97255,0.22875,0.2264
163_cs,CONF_0028,-0.27376,-0.2138,-0.27708,0.22988,0.30701,0.96247,0.94728,0.22949,0.22828
163_cs,CONF_0029,-0.26135,-0.21199,-0.2903,0.23677,0.31934,0.95126,0.91416,0.2261,0.22294
163_cs,CONF_0030,-0.28481,-0.21442,-0.27415,0.22778,0.29917,0.9805,0.95482,0.22868,0.23289
163_cs,CONF_0031,-0.26914,-0.21604,-0.28818,0.22597,0.28366,0.96917,0.97057,0.22859,0.22587
163_cs,CONF_0032,-0.28586,-0.22054,-0.26923,0.23322,0.31274,0.97098,0.95016,0.23056,0.225
163_cs,CONF_0033,-0.26863,-0.21316,-0.29159,0.22946,0.31708,0.96328,0.97294,0.22928,0.22936
163_cs,CONF_0034,-0.26506,-0.21419,-0.28653,0.23618,0.3462,0.9625,0.9155,0.22853,0.23389
163_cs,CONF_0035,-0.27009,-0.22013,-0.28419,0.23112,0.3068,0.94935,0.96833,0.23103,0.23015
163_cs,CONF_0036,-0.28557,-0.22043,-0.26997,0.23316,0.31227,0.97157,0.95057,0.23069,0.22509
163_cs,CONF_0037,-0.27421,-0.21411,-0.27648,0.23007,0.30689,0.96232,0.94724,0.22956,0.22826
163_cs,CONF_0038,-0.26125,-0.21206,-0.29041,0.23681,0.31971,0.95113,0.91415,0.22616,0.22298
163_cs,CONF_0039,-0.27033,-0.21348,-0.29118,0.23343,0.30912,0.9643,0.96662,0.22861,0.22584
163_cs,CONF_0040,-0.29006,-0.21219,-0.26149,0.23676,0.31876,0.914,0.95178,0.223,0.22604
163_cs,CONF_0041,-0.2724,-0.21466,-0.28581,0.23281,0.335,0.96723,0.96239,0.23053,0.23331
163_cs,CONF_0043,-0.28353,-0.21822,-0.27678,0.22803,0.30309,0.9724,0.97287,0.22835,0.2358
163_cs,CONF_0044,-0.28985,-0.21956,-0.26995,0.22697,0.30993,0.9653,0.97705,0.22925,0.23244
163_cs,CONF_0045,-0.27292,-0.22242,-0.27304,0.23311,0.3102,0.9655,0.9522,0.23222,0.22866
163_cs,CONF_0046,-0.27258,-0.21654,-0.28075,0.23061,0.29758,0.96607,0.96742,0.22996,0.2305
163_cs,CONF_0048,-0.29104,-0.21342,-0.26849,0.22948,0.31672,0.97275,0.96374,0.22921,0.22922
164_cs,CONF_0009,-0.26873,-0.21614,-0.28858,0.22628,0.28395,0.96832,0.97202,0.22875,0.22534
164_cs,CONF_0010,-0.28442,-0.21372,-0.27604,0.22658,0.29376,0.97751,0.95257,0.22522,0.23182
164_cs,CONF_0012,-0.28225,-0.21653,-0.27012,0.22995,0.29949,0.97191,0.96556,0.23061,0.23017
164_cs,CONF_0013,-0.2686,-0.22139,-0.29177,0.22722,0.32181,0.95768,0.95736,0.24174,0.22764
164_cs,CONF_0020,-0.29088,-0.21214,-0.26121,0.23694,0.31902,0.91453,0.95179,0.22312,0.22593
164_cs,CONF_0022,-0.28745,-0.22014,-0.26884,0.23309,0.31245,0.97136,0.95103,0.23037,0.22535
164_cs,CONF_0023,-0.27497,-0.22168,-0.2792,0.22385,0.28883,0.976,0.96292,0.23224,0.22933
164_cs,CONF_0025,-0.2613,-0.21256,-0.28944,0.23688,0.31902,0.95164,0.91368,0.2261,0.22298
164_cs,CONF_0026,-0.27124,-0.21943,-0.28,0.22608,0.28088,0.97775,0.97794,0.22866,0.22878
164_cs,CONF_0027,-0.26137,-0.21261,-0.28921,0.23683,0.31836,0.95187,0.91361,0.22604,0.22296
164_cs,CONF_0028,-0.28532,-0.21414,-0.27364,0.22766,0.30038,0.98058,0.9546,0.22874,0.23307
164_cs,CONF_0029,-0.27144,-0.21403,-0.29064,0.23008,0.29097,0.96411,0.96396,0.22463,0.22367
164_cs,CONF_0031,-0.28615,-0.22066,-0.26894,0.2332,0.31288,0.97129,0.94985,0.23049,0.22512
164_cs,CONF_0032,-0.2684,-0.2133,-0.29141,0.22949,0.31697,0.9635,0.97276,0.22924,0.22927
164_cs,CONF_0033,-0.26509,-0.21421,-0.28614,0.23627,0.34702,0.96223,0.91469,0.22862,0.23404
164_cs,CONF_0034,-0.2695,-0.22064,-0.28617,0.23317,0.31259,0.95014,0.97193,0.22526,0.23062
164_cs,CONF_0035,-0.26947,-0.22007,-0.28468,0.23087,0.30652,0.95019,0.96892,0.23111,0.2302
164_cs,CONF_0036,-0.28651,-0.2203,-0.26932,0.23315,0.3124,0.97117,0.95033,0.23051,0.22514
164_cs,CONF_0037,-0.27431,-0.21397,-0.27645,0.22994,0.30705,0.96184,0.94746,0.22958,0.22821
164_cs,CONF_0038,-0.26125,-0.21267,-0.28927,0.23685,0.31845,0.95191,0.91354,0.22606,0.22294
164_cs,CONF_0039,-0.27071,-0.21351,-0.29121,0.23334,0.30918,0.96379,0.96603,0.22865,0.22566
164_cs,CONF_0040,-0.29049,-0.2122,-0.26142,0.23688,0.31885,0.91456,0.95184,0.22308,0.22594
164_cs,CONF_0041,-0.27257,-0.21495,-0.28529,0.23281,0.33527,0.96745,0.96225,0.23045,0.23317
164_cs,CONF_0043,-0.28386,-0.21801,-0.27648,0.22776,0.3031,0.97229,0.97311,0.22849,0.23602
164_cs,CONF_0044,-0.28924,-0.21959,-0.2701,0.22686,0.30975,0.9654,0.97721,0.22927,0.23232
164_cs,CONF_0045,-0.27255,-0.22228,-0.27319,0.23302,0.31061,0.96546,0.95219,0.2321,0.22853
164_cs,CONF_0046,-0.27278,-0.21631,-0.28054,0.23053,0.29765,0.96613,0.96703,0.22997,0.23055
164_cs,CONF_0048,-0.26324,-0.2252,-0.28207,0.22117,0.31211,0.97466,0.93895,0.24709,0.24019
164_cs,CONF_0049,-0.28201,-0.22341,-0.26501,0.22744,0.29532,0.964,0.97244,0.22903,0.23064
164_cs,CONF_0050,-0.29108,-0.2134,-0.26853,0.22943,0.31693,0.97275,0.96393,0.22924,0.22924
164_cs,CONF_0051,-0.27262,-0.22235,-0.27364,0.23319,0.31034,0.95217,0.96551,0.22857,0.23222
165_cs,CONF_0001,-0.27019,-0.21957,-0.26848,0.22712,0.27063,1.00442,0.99475,0.2288,0.22953
165_cs,CONF_0002,-0.27063,-0.21954,-0.26828,0.22696,0.27054,1.00473,0.99509,0.22903,0.22954
165_cs,CONF_0003,-0.26741,-0.22003,-0.27523,0.22763,0.26974,0.99242,1.00601,0.22702,0.22873
165_cs,CONF_0004,-0.28529,-0.21986,-0.25454,0.22737,0.27731,0.9891,0.98959,0.22978,0.22818
165_cs,CONF_0005,-0.26468,-0.22786,-0.26285,0.22247,0.2661,0.99641,0.99382,0.22487,0.2213
165_cs,CONF_0006,-0.26637,-0.22776,-0.26456,0.23035,0.26277,0.99736,0.99643,0.22183,0.22139
165_cs,CONF_0007,-0.27973,-0.22307,-0.2573,0.22575,0.26972,1.00615,1.00547,0.23081,0.22226
165_cs,CONF_0008,-0.26045,-0.22662,-0.27243,0.22327,0.26998,0.99926,0.99289,0.22442,0.22162
165_cs,CONF_0009,-0.26675,-0.22363,-0.2675,0.22778,0.2691,0.99086,0.99091,0.22278,0.22262
165_cs,CONF_0010,-0.26546,-0.22766,-0.26566,0.23021,0.26293,0.99704,0.99694,0.22163,0.22167
165_cs,CONF_0011,-0.26667,-0.22358,-0.26769,0.22779,0.26902,0.99095,0.99091,0.2228,0.22262
165_cs,CONF_0012,-0.26739,-0.22338,-0.26695,0.22781,0.26918,0.99058,0.99088,0.22252,0.22265
165_cs,CONF_0013,-0.28978,-0.2267,-0.23869,0.23037,0.26619,1.00225,0.98682,0.22968,0.22387
166_cs,CONF_0001,-0.27107,-0.21946,-0.26822,0.22698,0.27073,1.00481,0.9952,0.2291,0.22957
166_cs,CONF_0002,-0.27213,-0.2195,-0.26759,0.22674,0.27045,1.00501,0.99607,0.22957,0.22959
166_cs,CONF_0004,-0.28536,-0.21998,-0.25474,0.2275,0.27699,0.98883,0.98999,0.22977,0.22811
166_cs,CONF_0005,-0.26537,-0.22793,-0.26186,0.2225,0.26593,0.99598,0.99399,0.22508,0.22128
