Ligand,Conformer,Vbur_5,Vbur_6,Vbur_7
102_cs,CONF_0027,44.59393411,68.35303169,68.52793469
102_cs,CONF_0028,44.50783421,68.46881658,68.47995611
102_cs,CONF_0030,45.24478723,68.10888488,68.49347401
102_cs,CONF_0033,44.49656864,68.47910013,68.4620933
102_cs,CONF_0035,44.22034279,67.53968514,68.94794777
102_cs,CONF_0036,44.06298193,68.40004929,68.61567361
102_cs,CONF_0039,43.33897055,67.88231772,68.64833326
102_cs,CONF_0040,44.40493589,68.83329736,68.93000548
102_cs,CONF_0068,48.50298025,69.50036969,72.17207613
102_cs,CONF_0078,47.68587112,69.72326639,71.97111689
102_cs,CONF_0098,47.71983592,72.43355697,69.73045683
102_cs,CONF_0112,47.38158711,69.52574374,71.9276736
102_cs,CONF_0230,46.18694427,69.10741128,71.29489165
102_cs,CONF_0261,47.17451697,68.99737167,71.49580862
102_cs,CONF_0269,47.2971477,69.30937299,71.91233562
102_cs,CONF_0282,47.82575095,69.07604881,72.41951666
102_cs,CONF_0286,46.13517556,71.26064426,69.33716544
102_cs,CONF_0290,47.44054536,69.00876477,71.84333395
102_cs,CONF_0300,46.91399628,69.17324433,72.20415588
102_cs,CONF_0409,47.62373218,69.03958248,72.3140024
102_cs,CONF_0519,47.56778021,69.15294997,71.35914624
102_cs,CONF_0532,46.88142487,69.12294871,71.21381327
102_cs,CONF_0556,47.84475496,70.26109731,71.84184492
102_cs,CONF_0605,47.41251828,71.82799008,69.60599748
102_cs,CONF_0626,47.29973417,71.47687057,68.91193117
102_cs,CONF_0711,47.44587141,68.88219248,71.35971438
102_cs,CONF_0713,47.72434382,69.66129887,71.69040983
102_cs,CONF_0934,47.41683492,71.32246251,68.85129937
102_cs,CONF_0939,47.39751703,68.6875832,72.0581959
103_cs,CONF_0007,39.76453059,66.90392921,68.38121948
103_cs,CONF_0032,42.93281569,69.65281196,70.56141819
103_cs,CONF_0036,39.78053683,67.22354935,67.01363385
103_cs,CONF_0038,42.95746112,69.74117998,70.04130074
103_cs,CONF_0059,43.97560751,69.14820217,70.63804159
103_cs,CONF_0063,41.84015267,68.54684646,70.58085933
103_cs,CONF_0067,43.791965,67.68317391,71.88333068
103_cs,CONF_0068,43.24670749,67.45190078,71.61516717
103_cs,CONF_0077,43.93173093,68.35574178,70.92357874
103_cs,CONF_0081,43.61013133,68.12833413,71.01378641
103_cs,CONF_0103,42.36493708,68.66159846,70.42154968
103_cs,CONF_0108,42.3760912,68.64750532,70.42273036
103_cs,CONF_0122,43.69214446,67.59714653,71.4901477
103_cs,CONF_0163,42.29484434,67.22177083,71.73924698
103_cs,CONF_0164,43.60004929,67.87864568,70.54617738
103_cs,CONF_0173,39.619398,67.06599417,66.93702802
103_cs,CONF_0280,42.95864374,67.36226569,70.82523393
103_cs,CONF_0376,44.6054691,70.43844711,69.8085187
103_cs,CONF_0421,42.3260814,70.51255095,67.38047514
103_cs,CONF_0423,42.40992075,67.20341278,70.56490382
