Ligand,Conformer,LUMO+1,LUMO,HOMO,HOMO-1,HOMO-2,HOMO-3,dipole(debye),trace,anisotropy
107_cs,CONF_0394,-2.044,-2.632,-5.251,-5.903,-6.120,-6.394,4.2182,-159.709693,25.051911
108_cs,CONF_0003,-2.125,-2.469,-5.251,-5.915,-6.071,-6.409,4.6803,-160.427667,24.689561
108_cs,CONF_0004,-2.116,-2.490,-5.267,-5.911,-6.065,-6.402,4.6940,-160.118137,25.260137
108_cs,CONF_0007,-2.113,-2.497,-5.263,-5.877,-6.077,-6.390,4.7033,-160.098373,25.083361
108_cs,CONF_0009,-2.110,-2.486,-5.242,-5.897,-6.067,-6.408,4.8944,-160.085337,25.219287
108_cs,CONF_0010,-2.110,-2.511,-5.275,-5.880,-6.055,-6.405,4.4668,-160.111100,24.402601
108_cs,CONF_0015,-2.117,-2.535,-5.276,-5.908,-6.083,-6.382,4.8884,-159.630422,26.082660
108_cs,CONF_0020,-2.117,-2.535,-5.276,-5.908,-6.083,-6.382,4.8841,-159.628597,26.091787
108_cs,CONF_0024,-2.072,-2.503,-5.233,-5.851,-6.061,-6.398,4.9889,-160.036382,24.583305
108_cs,CONF_0026,-2.103,-2.539,-5.292,-5.863,-6.061,-6.390,4.7507,-159.763503,24.960329
108_cs,CONF_0027,-2.110,-2.530,-5.255,-5.870,-6.103,-6.402,4.6185,-159.937327,25.029341
108_cs,CONF_0030,-2.088,-2.515,-5.232,-5.879,-6.080,-6.392,5.1004,-159.530424,25.644407
108_cs,CONF_0032,-2.070,-2.519,-5.247,-5.852,-6.064,-6.400,5.0853,-159.736517,24.918886
108_cs,CONF_0033,-2.109,-2.512,-5.274,-5.879,-6.056,-6.405,4.4776,-160.108323,24.383515
108_cs,CONF_0034,-2.110,-2.531,-5.255,-5.870,-6.103,-6.402,4.6134,-159.943009,25.063785
108_cs,CONF_0035,-2.080,-2.549,-5.243,-5.866,-6.049,-6.393,4.9957,-159.545843,25.361955
108_cs,CONF_0044,-2.102,-2.551,-5.262,-5.874,-6.096,-6.401,4.8755,-159.601907,25.891150
