Ligand,Conformer,1C,2C,3C,5Pd,6P,7P
104_cs,CONF_0967,0.08651,0.02571,0.19621,0.26331,0.20882,0.20088
104_cs,CONF_1032,0.19032,0.03065,0.10642,0.23167,0.21008,0.19127
104_cs,CONF_1043,0.14873,0.02381,0.13162,0.21289,0.20431,0.20807
104_cs,CONF_1200,0.15945,0.02627,0.13041,0.25004,0.20527,0.20674
104_cs,CONF_1230,0.19547,0.02298,0.10382,0.23925,0.20470,0.21226
105_cs,CONF_0001,0.16617,0.02325,0.07223,0.23759,0.14827,0.16579
105_cs,CONF_0004,0.15126,0.02181,0.08744,0.22488,0.16452,0.15304
105_cs,CONF_0005,0.05981,0.02149,0.17824,0.25465,0.16916,0.17060
105_cs,CONF_0007,0.15154,0.02176,0.08667,0.22559,0.16429,0.15337
105_cs,CONF_0010,0.16615,0.02322,0.07226,0.23776,0.14832,0.16592
105_cs,CONF_0012,0.05962,0.02150,0.17835,0.25515,0.16916,0.17043
105_cs,CONF_0013,0.05983,0.02153,0.17753,0.25508,0.16932,0.17023
105_cs,CONF_0014,0.07207,0.02319,0.16663,0.23768,0.16537,0.14885
106_cs,CONF_0003,0.16669,0.02314,0.07181,0.23759,0.14918,0.16503
106_cs,CONF_0004,0.14994,0.02192,0.08749,0.22472,0.16475,0.15300
106_cs,CONF_0005,0.17744,0.02154,0.06005,0.25493,0.17050,0.16948
106_cs,CONF_0007,0.08690,0.02186,0.15144,0.22492,0.15332,0.16431
106_cs,CONF_0010,0.16607,0.02328,0.07207,0.23800,0.14888,0.16596
106_cs,CONF_0011,0.17813,0.02145,0.05978,0.25485,0.17050,0.16978
106_cs,CONF_0012,0.17836,0.02140,0.05979,0.25503,0.17055,0.16984
106_cs,CONF_0013,0.16665,0.02315,0.07207,0.23793,0.14858,0.16578
107_cs,CONF_0003,0.13386,0.02620,0.14684,0.21238,0.19718,0.20399
107_cs,CONF_0004,0.12414,0.02638,0.15085,0.21382,0.19497,0.20211
107_cs,CONF_0007,0.12615,0.02685,0.14619,0.21184,0.19756,0.20461
107_cs,CONF_0009,0.13710,0.02660,0.13675,0.21987,0.20033,0.20141
107_cs,CONF_0010,0.12160,0.02645,0.14825,0.21782,0.19891,0.20007
107_cs,CONF_0015,0.13610,0.02576,0.12972,0.22081,0.20243,0.19394
107_cs,CONF_0020,0.13570,0.02571,0.13023,0.22058,0.20238,0.19408
107_cs,CONF_0024,0.12552,0.02754,0.15812,0.22336,0.19492,0.20781
107_cs,CONF_0026,0.13173,0.02676,0.12975,0.22180,0.19512,0.19603
107_cs,CONF_0027,0.15009,0.02558,0.11633,0.23805,0.20091,0.19063
107_cs,CONF_0030,0.12957,0.02716,0.14891,0.22783,0.20096,0.20532
107_cs,CONF_0032,0.12139,0.02775,0.15662,0.22353,0.19269,0.20738
107_cs,CONF_0033,0.12158,0.02643,0.14806,0.21823,0.19879,0.19977
107_cs,CONF_0034,0.14324,0.02641,0.12245,0.23476,0.20135,0.19152
107_cs,CONF_0035,0.11193,0.02645,0.17374,0.22177,0.20679,0.19851
107_cs,CONF_0044,0.14860,0.02528,0.11389,0.24075,0.19696,0.19541
107_cs,CONF_0045,0.12782,0.02622,0.13529,0.23637,0.20282,0.19131
107_cs,CONF_0052,0.12195,0.02738,0.15264,0.22635,0.19194,0.20231
107_cs,CONF_0054,0.09727,0.02549,0.18565,0.23154,0.19515,0.20736
107_cs,CONF_0055,0.12198,0.02643,0.15869,0.21553,0.20350,0.19879
107_cs,CONF_0058,0.13159,0.02713,0.14568,0.23223,0.19845,0.20355
107_cs,CONF_0060,0.10075,0.02594,0.18734,0.22820,0.19907,0.20645
107_cs,CONF_0063,0.12550,0.02672,0.14625,0.21718,0.19802,0.20201
107_cs,CONF_0066,0.11650,0.02647,0.16978,0.21604,0.20576,0.19748
107_cs,CONF_0067,0.12107,0.02676,0.14260,0.23742,0.19634,0.20017
107_cs,CONF_0068,0.12781,0.02617,0.13540,0.23648,0.20290,0.19135
107_cs,CONF_0075,0.12069,0.02627,0.14183,0.23755,0.19939,0.19298
107_cs,CONF_0096,0.14532,0.02511,0.11298,0.23895,0.20048,0.19092
107_cs,CONF_0100,0.13917,0.02298,0.13120,0.23207,0.20357,0.19569
107_cs,CONF_0103,0.09810,0.02634,0.18242,0.23417,0.20035,0.20089
107_cs,CONF_0113,0.11871,0.02698,0.15785,0.21882,0.20651,0.19792
107_cs,CONF_0144,0.13164,0.02719,0.14580,0.23230,0.19826,0.20353
107_cs,CONF_0145,0.11788,0.02579,0.14987,0.22384,0.20301,0.19745
107_cs,CONF_0167,0.11554,0.02520,0.15848,0.23584,0.19993,0.19606
107_cs,CONF_0170,0.12040,0.02501,0.15394,0.23348,0.20331,0.19252
107_cs,CONF_0197,0.10994,0.02469,0.16181,0.24121,0.20483,0.19011
107_cs,CONF_0206,0.12190,0.02650,0.15888,0.21553,0.20330,0.19877
107_cs,CONF_0224,0.10969,0.02648,0.17499,0.24340,0.20827,0.19179
107_cs,CONF_0378,0.11951,0.02729,0.16155,0.23068,0.20052,0.19697
107_cs,CONF_0394,0.10069,0.02591,0.18775,0.22803,0.19896,0.20648
108_cs,CONF_0003,0.13429,0.02611,0.14644,0.21207,0.19752,0.20390
108_cs,CONF_0004,0.12434,0.02635,0.15071,0.21334,0.19532,0.20215
