Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
104_cs,CONF_0060,-0.29024,-0.22905,-0.31930,0.23978,0.28684,0.94528,0.91608,0.24365,0.24445
104_cs,CONF_0063,-0.32109,-0.22216,-0.29725,0.24117,0.28901,0.95447,0.92006,0.24498,0.24540
104_cs,CONF_0069,-0.31462,-0.22502,-0.29450,0.23867,0.29183,0.96097,0.90184,0.24355,0.24586
104_cs,CONF_0070,-0.32067,-0.22503,-0.28896,0.24258,0.29805,0.95178,0.90005,0.24456,0.24490
104_cs,CONF_0074,-0.30211,-0.22580,-0.30007,0.24289,0.29054,0.94126,0.90650,0.24383,0.24386
104_cs,CONF_0078,-0.31191,-0.22196,-0.30684,0.23880,0.29626,0.95248,0.91236,0.24432,0.24745
104_cs,CONF_0083,-0.31752,-0.22385,-0.29180,0.24189,0.29919,0.93327,0.90558,0.24542,0.24497
104_cs,CONF_0103,-0.30852,-0.22429,-0.29631,0.23838,0.28820,0.95521,0.90586,0.24389,0.24477
104_cs,CONF_0115,-0.29634,-0.22411,-0.30851,0.23827,0.28834,0.90551,0.95478,0.24479,0.24395
104_cs,CONF_0122,-0.30653,-0.22398,-0.30969,0.23747,0.29325,0.97186,0.90461,0.24273,0.24701
104_cs,CONF_0158,-0.28894,-0.22878,-0.32066,0.23908,0.28130,0.97282,0.90046,0.24132,0.24538
104_cs,CONF_0163,-0.31977,-0.22239,-0.29420,0.23997,0.29503,0.94133,0.90688,0.24558,0.24607
104_cs,CONF_0275,-0.28732,-0.22755,-0.32378,0.24085,0.28346,0.95738,0.89943,0.24303,0.24608
104_cs,CONF_0336,-0.29790,-0.22014,-0.31871,0.23715,0.29019,0.92327,0.94346,0.24440,0.24515
104_cs,CONF_0370,-0.27186,-0.23011,-0.32824,0.24285,0.29705,0.92530,0.90090,0.24197,0.24587
104_cs,CONF_0379,-0.29696,-0.22516,-0.30686,0.24024,0.28939,0.95320,0.89502,0.24038,0.24277
104_cs,CONF_0419,-0.28968,-0.22754,-0.31386,0.24179,0.28612,0.94207,0.90601,0.24200,0.24421
104_cs,CONF_0502,-0.27801,-0.23233,-0.33075,0.24041,0.29156,0.93726,0.92087,0.24337,0.24591
104_cs,CONF_0584,-0.31218,-0.22393,-0.29773,0.23936,0.29212,0.92555,0.91953,0.24496,0.24559
104_cs,CONF_0687,-0.26775,-0.23676,-0.33312,0.24150,0.30290,0.89671,0.91833,0.24434,0.24536
104_cs,CONF_0722,-0.30760,-0.22815,-0.28497,0.24344,0.30893,0.89619,0.89857,0.24568,0.24559
104_cs,CONF_0755,-0.28599,-0.22427,-0.31785,0.24170,0.30726,0.91124,0.88711,0.24393,0.24646
104_cs,CONF_0780,-0.27768,-0.23048,-0.32235,0.23886,0.29178,0.93005,0.89706,0.24168,0.24324
104_cs,CONF_0812,-0.32067,-0.22508,-0.28871,0.24259,0.29818,0.95148,0.90017,0.24457,0.24490
104_cs,CONF_0828,-0.31896,-0.22580,-0.28838,0.24228,0.30445,0.94915,0.87720,0.24434,0.24498
104_cs,CONF_0858,-0.28731,-0.22744,-0.32376,0.24082,0.28353,0.95737,0.89935,0.24300,0.24605
