Ligand,Conformer,Bmin,Bmax,L,Bmin_0.0,Bmin_0.5,Bmin_1.0,Bmin_1.5,Bmin_2.0,Bmin_2.5,Bmin_3.0,Bmin_3.5,Bmin_4.0,Bmin_4.5,Bmin_5.0,Bmin_5.5,Bmin_6.0,Bmin_6.5,Bmin_7.0,Bmin_7.5,Bmin_8.0,Bmin_8.5,Bmin_9.0,Bmin_9.5,Bmin_10.0,Bmin_10.5,Bmin_11.0,Bmin_11.5,Bmin_12.0,Bmax_0.0,Bmax_0.5,Bmax_1.0,Bmax_1.5,Bmax_2.0,Bmax_2.5,Bmax_3.0,Bmax_3.5,Bmax_4.0,Bmax_4.5,Bmax_5.0,Bmax_5.5,Bmax_6.0,Bmax_6.5,Bmax_7.0,Bmax_7.5,Bmax_8.0,Bmax_8.5,Bmax_9.0,Bmax_9.5,Bmax_10.0,Bmax_10.5,Bmax_11.0,Bmax_11.5,Bmax_12.0
R-Segphos_2,CONF_0000,3.971707641607453,3.950046214972005,4.160416088455095,3.971707641607453,3.950046214972005,4.160416088455095,4.774523418288595,5.191212542770448,5.146803655742969,4.846504466992329,4.498909236273087,4.046397446640976,3.8979137968777584,3.683612814115607,3.300000000000001,3.0888441911171256,2.848300897701016,2.44347236672874,1.767748068371746,1.2701502681570251,0.3584150308836157,0.3134753285686567,0.000130407193865,0.0,0.0,0.0,0.0,0,8.342961105027399,8.342961105027399,8.255452743490208,7.874801584801994,7.756448929761609,7.737086014773262,7.491662031885848,7.375127117548552,7.071067811865476,6.473407139984321,6.427480066091218,6.224146527838174,6.013318551349164,5.857687256929989,5.629387178015028,5.267114959823831,4.886972477925364,3.318508701209024,2.685609800399157,1.4115594213493114,0.0,0.0,0.0,0.0,0
R-Tol-SDP_1,CONF_0010,5.075535192096931,4.986031258629699,4.582534320680243,5.075535192096931,4.986031258629699,4.582534320680243,4.191244001789949,4.260397149949988,4.227268528569294,4.393354495691308,4.140738162962703,3.976589181795656,3.7905015754460423,3.37307487773193,3.2106406460551016,3.051036089081807,2.831049599405528,2.3972303776632296,1.4849242404917495,1.2507158276203425,0.0006938098842366,0.0,0.0,0.0,0.0,0.0,0.0,0,9.398404119849284,9.398404119849284,9.31262583807596,8.895504482602435,8.85663593019381,8.848869984353934,8.774109641439408,8.597819491010496,8.486459803710849,7.98498591107085,6.562202374203344,6.604733151308991,6.604733151308991,6.554769256045555,6.280127387243033,6.1355521348938105,5.676486589431883,1.5660459763365828,0.0,0.0,0.0,0.0,0.0,0.0,0
R-Tol-SDP_1,CONF_0009,4.274149409305293,4.121609425850902,3.9853594947214384,4.274149409305293,4.121609425850902,3.9853594947214384,4.423557158514988,4.702260094890542,4.60847268703513,4.620306538882791,4.535711655310493,4.026866730825256,3.8683548051109264,3.466848066971997,3.1735089745922096,2.9574028853269763,2.647341094995811,2.27822774945998,1.8853621519402868,0.9158420428709764,0.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,9.424436322666727,9.424436322666727,9.408108205160056,9.20271699010678,8.761563787361249,8.744855630597911,8.73169513897502,8.66097569561305,8.46241691244292,8.352245207128439,7.844743462982074,7.1751306608312015,7.011419257183242,6.932712311931023,6.687675231349082,5.587933428379404,3.3712015662075143,0.9924716620639606,0.0,0.0,0.0,0.0,0.0,0.0,0
R-Tol-SDP_1,CONF_0008,3.601248350935808,4.085308774061312,4.715732759893841,3.601248350935808,4.085308774061312,4.715732759893841,4.75088247236023,4.915240955253473,4.747933711113643,4.425550539918289,4.411914166432694,4.35,4.220836660704547,3.8387615457643913,3.612606106843123,2.937557105071414,2.4696365467433563,2.219735196746936,1.714851370822957,0.0083501669645914,0.0066659855984605,0.0,0.0,0.0,0.0,0.0,0.0,0,8.532877591996733,7.707788269017254,7.642316402766899,8.02900990160057,8.497793831342344,8.609587678861281,8.609587678861281,8.60886171337419,8.439934833871643,8.328565302619655,8.023247472189798,7.799999999999999,7.416367035145982,6.83117852204142,4.543676925134533,3.698986347636334,2.375920874103344,1.6918924315688624,0.0,0.0,0.0,0.0,0.0,0.0,0
R-Tol-SDP_1,CONF_0007,3.440896534380868,4.61389303056198,5.070290437584941,3.440896534380868,4.61389303056198,5.070290437584941,5.161879502661797,5.478118364799368,5.901574288126756,5.572416309381179,4.926706014179918,4.230688948453801,4.034842508481679,3.735976294575514,3.5062080024430866,2.77613484272791,2.473966539734598,2.0232147293236884,1.7637069969808652,1.3952822116790766,0.0023797037027954,0.0,0.0,0.0,0.0,0.0,0.0,0,9.375766635321083,9.375766635321083,9.340770846134705,9.038390343418456,8.15551960331161,8.225721852822401,8.246969140235702,8.246969140235702,8.246969140235702,8.109408116502708,7.875436495839453,7.658492018667904,6.95449494931156,5.079862202855507,4.322614949310197,3.6503424496887953,3.25,2.024845673131657,0.0,0.0,0.0,0.0,0.0,0.0,0
R-Tol-SDP_1,CONF_0006,4.827227820072936,5.590774892091498,5.144103961022733,4.827227820072936,5.590774892091498,5.144103961022733,5.064551168539512,5.089977334428356,5.08090315581875,4.830623783270105,4.206112661526743,3.25,3.059423896690148,3.073056672049708,2.25943243663617,2.1606583506301718,2.1606583506301718,2.11908126794312,1.7684213630629444,0.1325533833089632,0.0105666986588908,0.0013040719386631,0.0037481527867502,0.0,0.0,0.0,0.0,0,9.37723306738187,9.37723306738187,9.37723306738187,9.313565375300694,9.119347564382002,8.405355435673139,8.335766311503699,8.297590011563598,8.124807690031808,8.025739841285661,7.566372975210778,5.663920903402518,5.456189146281494,4.89744831519435,4.720699100768867,4.045985664828779,4.052776825831887,4.052776825831887,3.960113634733224,3.5468295701936388,0.0,0.0,0.0,0.0,0
R-Tol-SDP_1,CONF_0005,5.048937733229842,4.938201402870213,4.576398224093155,5.048937733229842,4.938201402870213,4.576398224093155,4.157045755554008,4.241203139444893,4.21726654807131,4.395507241412387,4.149999999999999,3.965246747713471,3.804901139865693,3.375518441726152,3.1994126264787903,3.0659582123116573,2.834020704421259,2.3858408356298675,1.5243167237291262,1.2622302496779023,0.0060013832925777,0.0,0.0,0.0,0.0,0.0,0.0,0,9.394147114027964,9.394147114027964,9.305912099305472,8.90294894964584,8.860022573334676,8.853953919012682,8.767696390728867,8.599563942433361,8.477175237070425,7.93300069330641,6.573051041943917,6.587298384011461,6.587298384011461,6.5431261641512,6.262786919575023,6.128825336065631,5.67824796922431,1.5692354826475223,0.0,0.0,0.0,0.0,0.0,0.0,0
R-Tol-SDP_1,CONF_0004,4.322979643584464,4.117745837470117,3.959864682356616,4.322979643584464,4.117745837470117,3.959864682356616,4.427018127597639,4.737615433949868,4.620306538882791,4.620306538882791,4.533599847168026,4.030354554512462,3.862261337940669,3.4702607204131795,3.1667907956883257,2.959624694510845,2.647341094995811,2.28128131263774,1.8853621519402868,0.9158420428709764,0.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,9.424436322666727,9.424436322666727,9.408108205160056,9.20271699010678,8.761563787361249,8.748857068211825,8.73169513897502,8.66097569561305,8.448076704197232,8.352245207128439,7.878134296900505,7.179484661171719,7.011419257183242,6.932712311931023,6.6777616010157175,5.587933428379404,3.3600595232822896,0.9924716620639606,0.0,0.0,0.0,0.0,0.0,0.0,0
R-Tol-SDP_1,CONF_0003,3.615338243941952,4.034732354019955,4.714243347375802,3.615338243941952,4.034732354019955,4.714243347375802,4.771680385452038,4.885337273627343,4.717844107621823,4.44978376452862,4.430712925214618,4.371402578892796,4.199613346068405,3.83480513130997,3.595915598344194,2.8387841376154457,2.483880797330316,2.224382982521323,1.693075209558922,0.0088093355910469,0.0083501669645916,0.0,0.0,0.0,0.0,0.0,0.0,0,8.393151970505476,7.694153624668537,7.647875521999558,7.658002350482794,8.35778080593168,8.5809381771459,8.600581375697807,8.600581375697807,8.534928236370824,8.324061508662703,8.02200099725748,7.726901060580497,7.398141658551827,6.937578828380978,4.57083143421413,3.716517186829627,2.358495283014151,1.6807736313971602,0.0,0.0,0.0,0.0,0.0,0.0,0
R-Tol-SDP_1,CONF_0002,5.050316843558086,4.938201402870213,4.576528631287022,5.050316843558086,4.938201402870213,4.576528631287022,4.157045755554008,4.236199530870344,4.222199075632923,4.399628502436144,4.149999999999999,3.965246747713471,3.804901139865693,3.375518441726152,3.1994126264787903,3.0659582123116573,2.834020704421259,2.3858408356298675,1.5243167237291262,1.2548389711575445,0.0060013832925777,0.0,0.0,0.0,0.0,0.0,0.0,0,9.394147114027964,9.394147114027964,9.305912099305472,8.90294894964584,8.855789067045352,8.853953919012682,8.767696390728867,8.599563942433361,8.477175237070425,7.93300069330641,6.573051041943917,6.5927991020506616,6.5927991020506616,6.5431261641512,6.262786919575023,6.128825336065631,5.667892024377317,1.5692354826475223,0.0,0.0,0.0,0.0,0.0,0.0,0
